"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9000","Ошибка смены валюты @BUG","firefox","Wed Dec 03 02:10:34 UTC 2025","passed","Wed Dec 03 02:10:43 UTC 2025","","academybugs.test.js","",""
"","17741","Ошибка увеличения количества товаров в корзине @BUG","firefox","Wed Dec 03 02:08:48 UTC 2025","failed","Wed Dec 03 02:09:06 UTC 2025","","academybugs.test.js","",""
"","3856","Ошибка перехода на страницу производителя товара @BUG","firefox","Wed Dec 03 02:12:30 UTC 2025","passed","Wed Dec 03 02:12:34 UTC 2025","","academybugs.test.js","",""
"","26981","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Wed Dec 03 02:10:06 UTC 2025","failed","Wed Dec 03 02:10:33 UTC 2025","","academybugs.test.js","",""
"","12614","Ошибка отображения количества товара на главной странице @BUG","firefox","Wed Dec 03 02:07:50 UTC 2025","failed","Wed Dec 03 02:08:02 UTC 2025","","academybugs.test.js","",""
"","13459","Ошибка публикации комментария к товару @BUG","firefox","Wed Dec 03 02:12:15 UTC 2025","failed","Wed Dec 03 02:12:28 UTC 2025","","academybugs.test.js","",""
"","30016","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Wed Dec 03 02:13:18 UTC 2025","broken","Wed Dec 03 02:13:48 UTC 2025","","academybugs.test.js","",""
"","18036","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Wed Dec 03 02:11:25 UTC 2025","failed","Wed Dec 03 02:11:43 UTC 2025","","academybugs.test.js","",""
