"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6252","Ошибка смены валюты @BUG","firefox","Sat Jun 28 02:07:35 GMT 2025","passed","Sat Jun 28 02:07:41 GMT 2025","","academybugs.test.js","",""
"","19305","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Sat Jun 28 02:07:14 GMT 2025","failed","Sat Jun 28 02:07:34 GMT 2025","","academybugs.test.js","",""
"","3707","Ошибка перехода на страницу производителя товара @BUG","firefox","Sat Jun 28 02:09:20 GMT 2025","passed","Sat Jun 28 02:09:24 GMT 2025","","academybugs.test.js","",""
"","14021","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Sat Jun 28 02:09:55 GMT 2025","failed","Sat Jun 28 02:10:09 GMT 2025","","academybugs.test.js","",""
"","12699","Ошибка отображения количества товара на главной странице @BUG","firefox","Sat Jun 28 02:06:07 GMT 2025","failed","Sat Jun 28 02:06:20 GMT 2025","","academybugs.test.js","",""
"","13335","Ошибка публикации комментария к товару @BUG","firefox","Sat Jun 28 02:09:05 GMT 2025","failed","Sat Jun 28 02:09:19 GMT 2025","","academybugs.test.js","",""
"","16433","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Sat Jun 28 02:08:17 GMT 2025","failed","Sat Jun 28 02:08:33 GMT 2025","","academybugs.test.js","",""
"","10210","Ошибка увеличения количества товаров в корзине @BUG","firefox","Sat Jun 28 02:06:22 GMT 2025","passed","Sat Jun 28 02:06:32 GMT 2025","","academybugs.test.js","",""
