"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16948","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Tue Apr 21 03:36:20 UTC 2026","failed","Tue Apr 21 03:36:37 UTC 2026","","academybugs.test.js","",""
"","14883","Ошибка увеличения количества товаров в корзине @BUG","firefox","Tue Apr 21 03:35:25 UTC 2026","failed","Tue Apr 21 03:35:40 UTC 2026","","academybugs.test.js","",""
"","13900","Ошибка публикации комментария к товару @BUG","firefox","Tue Apr 21 03:38:02 UTC 2026","failed","Tue Apr 21 03:38:16 UTC 2026","","academybugs.test.js","",""
"","3331","Ошибка перехода на страницу производителя товара @BUG","firefox","Tue Apr 21 03:38:18 UTC 2026","passed","Tue Apr 21 03:38:21 UTC 2026","","academybugs.test.js","",""
"","13274","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Tue Apr 21 03:38:52 UTC 2026","failed","Tue Apr 21 03:39:05 UTC 2026","","academybugs.test.js","",""
"","14823","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Tue Apr 21 03:37:16 UTC 2026","failed","Tue Apr 21 03:37:31 UTC 2026","","academybugs.test.js","",""
"","5205","Ошибка смены валюты @BUG","firefox","Tue Apr 21 03:36:38 UTC 2026","passed","Tue Apr 21 03:36:43 UTC 2026","","academybugs.test.js","",""
"","12480","Ошибка отображения количества товара на главной странице @BUG","firefox","Tue Apr 21 03:34:37 UTC 2026","failed","Tue Apr 21 03:34:50 UTC 2026","","academybugs.test.js","",""
