"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14181","Ошибка публикации комментария к товару @BUG","firefox","Sun Jul 20 02:36:40 GMT 2025","failed","Sun Jul 20 02:36:54 GMT 2025","","academybugs.test.js","",""
"","11716","Ошибка увеличения количества товаров в корзине @BUG","firefox","Sun Jul 20 02:33:47 GMT 2025","passed","Sun Jul 20 02:33:58 GMT 2025","","academybugs.test.js","",""
"","20090","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Sun Jul 20 02:34:45 GMT 2025","failed","Sun Jul 20 02:35:05 GMT 2025","","academybugs.test.js","",""
"","16245","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Sun Jul 20 02:35:52 GMT 2025","failed","Sun Jul 20 02:36:08 GMT 2025","","academybugs.test.js","",""
"","4019","Ошибка перехода на страницу производителя товара @BUG","firefox","Sun Jul 20 02:36:55 GMT 2025","passed","Sun Jul 20 02:36:59 GMT 2025","","academybugs.test.js","",""
"","13484","Ошибка отображения количества товара на главной странице @BUG","firefox","Sun Jul 20 02:33:32 GMT 2025","failed","Sun Jul 20 02:33:45 GMT 2025","","academybugs.test.js","",""
"","13688","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Sun Jul 20 02:37:31 GMT 2025","failed","Sun Jul 20 02:37:44 GMT 2025","","academybugs.test.js","",""
"","6507","Ошибка смены валюты @BUG","firefox","Sun Jul 20 02:35:07 GMT 2025","passed","Sun Jul 20 02:35:13 GMT 2025","","academybugs.test.js","",""
