"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14303","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Mon May 05 02:10:29 GMT 2025","failed","Mon May 05 02:10:43 GMT 2025","","academybugs.test.js","",""
"","21969","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Mon May 05 02:07:40 GMT 2025","failed","Mon May 05 02:08:01 GMT 2025","","academybugs.test.js","",""
"","4156","Ошибка перехода на страницу производителя товара @BUG","firefox","Mon May 05 02:09:53 GMT 2025","passed","Mon May 05 02:09:57 GMT 2025","","academybugs.test.js","",""
"","13784","Ошибка публикации комментария к товару @BUG","firefox","Mon May 05 02:09:38 GMT 2025","failed","Mon May 05 02:09:51 GMT 2025","","academybugs.test.js","",""
"","10345","Ошибка увеличения количества товаров в корзине @BUG","firefox","Mon May 05 02:06:46 GMT 2025","passed","Mon May 05 02:06:56 GMT 2025","","academybugs.test.js","",""
"","12679","Ошибка отображения количества товара на главной странице @BUG","firefox","Mon May 05 02:06:32 GMT 2025","failed","Mon May 05 02:06:44 GMT 2025","","academybugs.test.js","",""
"","17086","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Mon May 05 02:08:48 GMT 2025","failed","Mon May 05 02:09:05 GMT 2025","","academybugs.test.js","",""
"","7262","Ошибка смены валюты @BUG","firefox","Mon May 05 02:08:03 GMT 2025","passed","Mon May 05 02:08:10 GMT 2025","","academybugs.test.js","",""
