"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3001","Ошибка перехода на страницу производителя товара @BUG","firefox","Tue Mar 03 02:54:05 UTC 2026","passed","Tue Mar 03 02:54:08 UTC 2026","","academybugs.test.js","",""
"","14498","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Tue Mar 03 02:53:06 UTC 2026","failed","Tue Mar 03 02:53:20 UTC 2026","","academybugs.test.js","",""
"","15124","Ошибка увеличения количества товаров в корзине @BUG","firefox","Tue Mar 03 02:51:16 UTC 2026","failed","Tue Mar 03 02:51:31 UTC 2026","","academybugs.test.js","",""
"","4510","Ошибка смены валюты @BUG","firefox","Tue Mar 03 02:52:28 UTC 2026","passed","Tue Mar 03 02:52:33 UTC 2026","","academybugs.test.js","",""
"","16515","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Tue Mar 03 02:52:10 UTC 2026","failed","Tue Mar 03 02:52:27 UTC 2026","","academybugs.test.js","",""
"","12212","Ошибка отображения количества товара на главной странице @BUG","firefox","Tue Mar 03 02:50:29 UTC 2026","failed","Tue Mar 03 02:50:41 UTC 2026","","academybugs.test.js","",""
"","12823","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Tue Mar 03 02:54:38 UTC 2026","failed","Tue Mar 03 02:54:51 UTC 2026","","academybugs.test.js","",""
"","12502","Ошибка публикации комментария к товару @BUG","firefox","Tue Mar 03 02:53:51 UTC 2026","failed","Tue Mar 03 02:54:04 UTC 2026","","academybugs.test.js","",""
