"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18289","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","2026-07-21","failed","2026-07-21","","academybugs.test.js","",""
"","13671","Ошибка публикации комментария к товару @BUG","firefox","2026-07-21","failed","2026-07-21","","academybugs.test.js","",""
"","3576","Ошибка перехода на страницу производителя товара @BUG","firefox","2026-07-21","passed","2026-07-21","","academybugs.test.js","",""
"","15701","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","2026-07-21","failed","2026-07-21","","academybugs.test.js","",""
"","14145","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","2026-07-21","failed","2026-07-21","","academybugs.test.js","",""
"","12493","Ошибка отображения количества товара на главной странице @BUG","firefox","2026-07-21","failed","2026-07-21","","academybugs.test.js","",""
"","5862","Ошибка смены валюты @BUG","firefox","2026-07-21","passed","2026-07-21","","academybugs.test.js","",""
"","15834","Ошибка увеличения количества товаров в корзине @BUG","firefox","2026-07-21","failed","2026-07-21","","academybugs.test.js","",""
