"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17509","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Thu Dec 04 02:11:52 UTC 2025","failed","Thu Dec 04 02:12:10 UTC 2025","","academybugs.test.js","",""
"","13116","Ошибка публикации комментария к товару @BUG","firefox","Thu Dec 04 02:12:42 UTC 2025","failed","Thu Dec 04 02:12:55 UTC 2025","","academybugs.test.js","",""
"","18290","Ошибка увеличения количества товаров в корзине @BUG","firefox","Thu Dec 04 02:09:28 UTC 2025","failed","Thu Dec 04 02:09:47 UTC 2025","","academybugs.test.js","",""
"","7310","Ошибка смены валюты @BUG","firefox","Thu Dec 04 02:11:05 UTC 2025","passed","Thu Dec 04 02:11:13 UTC 2025","","academybugs.test.js","",""
"","12287","Ошибка отображения количества товара на главной странице @BUG","firefox","Thu Dec 04 02:08:34 UTC 2025","failed","Thu Dec 04 02:08:47 UTC 2025","","academybugs.test.js","",""
"","21899","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Thu Dec 04 02:10:42 UTC 2025","failed","Thu Dec 04 02:11:04 UTC 2025","","academybugs.test.js","",""
"","3778","Ошибка перехода на страницу производителя товара @BUG","firefox","Thu Dec 04 02:12:57 UTC 2025","passed","Thu Dec 04 02:13:00 UTC 2025","","academybugs.test.js","",""
"","14292","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Thu Dec 04 02:13:33 UTC 2025","failed","Thu Dec 04 02:13:48 UTC 2025","","academybugs.test.js","",""
