"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12631","Ошибка отображения количества товара на главной странице @BUG","firefox","Tue Jul 29 02:35:28 GMT 2025","failed","Tue Jul 29 02:35:41 GMT 2025","","academybugs.test.js","",""
"","10072","Ошибка увеличения количества товаров в корзине @BUG","firefox","Tue Jul 29 02:35:42 GMT 2025","passed","Tue Jul 29 02:35:52 GMT 2025","","academybugs.test.js","",""
"","6799","Ошибка смены валюты @BUG","firefox","Tue Jul 29 02:37:04 GMT 2025","passed","Tue Jul 29 02:37:10 GMT 2025","","academybugs.test.js","",""
"","4265","Ошибка перехода на страницу производителя товара @BUG","firefox","Tue Jul 29 02:38:52 GMT 2025","passed","Tue Jul 29 02:38:56 GMT 2025","","academybugs.test.js","",""
"","13680","Ошибка публикации комментария к товару @BUG","firefox","Tue Jul 29 02:38:37 GMT 2025","failed","Tue Jul 29 02:38:50 GMT 2025","","academybugs.test.js","",""
"","21474","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Tue Jul 29 02:36:41 GMT 2025","failed","Tue Jul 29 02:37:02 GMT 2025","","academybugs.test.js","",""
"","16529","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Tue Jul 29 02:37:48 GMT 2025","failed","Tue Jul 29 02:38:04 GMT 2025","","academybugs.test.js","",""
"","14533","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Tue Jul 29 02:39:29 GMT 2025","failed","Tue Jul 29 02:39:43 GMT 2025","","academybugs.test.js","",""
