"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30029","Ошибка смены валюты @BUG","firefox","Thu Jul 17 02:26:30 GMT 2025","broken","Thu Jul 17 02:27:00 GMT 2025","","academybugs.test.js","",""
"","30019","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Thu Jul 17 02:24:56 GMT 2025","broken","Thu Jul 17 02:25:26 GMT 2025","","academybugs.test.js","",""
"","30013","Ошибка публикации комментария к товару @BUG","firefox","Thu Jul 17 02:29:37 GMT 2025","broken","Thu Jul 17 02:30:07 GMT 2025","","academybugs.test.js","",""
"","30017","Ошибка увеличения количества товаров в корзине @BUG","firefox","Thu Jul 17 02:23:21 GMT 2025","broken","Thu Jul 17 02:23:51 GMT 2025","","academybugs.test.js","",""
"","30047","Ошибка перехода на страницу производителя товара @BUG","firefox","Thu Jul 17 02:31:11 GMT 2025","broken","Thu Jul 17 02:31:41 GMT 2025","","academybugs.test.js","",""
"","30016","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Thu Jul 17 02:32:46 GMT 2025","broken","Thu Jul 17 02:33:16 GMT 2025","","academybugs.test.js","",""
"","30021","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Thu Jul 17 02:28:05 GMT 2025","broken","Thu Jul 17 02:28:35 GMT 2025","","academybugs.test.js","",""
"","16179","Ошибка отображения количества товара на главной странице @BUG","firefox","Thu Jul 17 02:22:00 GMT 2025","failed","Thu Jul 17 02:22:17 GMT 2025","","academybugs.test.js","",""
