"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12678","Ошибка отображения количества товара на главной странице @BUG","firefox","Tue Nov 25 02:05:33 UTC 2025","failed","Tue Nov 25 02:05:46 UTC 2025","","academybugs.test.js","",""
"","14673","Ошибка публикации комментария к товару @BUG","firefox","Tue Nov 25 02:09:54 UTC 2025","failed","Tue Nov 25 02:10:09 UTC 2025","","academybugs.test.js","",""
"","8276","Ошибка смены валюты @BUG","firefox","Tue Nov 25 02:07:58 UTC 2025","passed","Tue Nov 25 02:08:07 UTC 2025","","academybugs.test.js","",""
"","21698","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Tue Nov 25 02:07:35 UTC 2025","failed","Tue Nov 25 02:07:57 UTC 2025","","academybugs.test.js","",""
"","17736","Ошибка увеличения количества товаров в корзине @BUG","firefox","Tue Nov 25 02:06:28 UTC 2025","failed","Tue Nov 25 02:06:46 UTC 2025","","academybugs.test.js","",""
"","17055","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Tue Nov 25 02:10:50 UTC 2025","failed","Tue Nov 25 02:11:08 UTC 2025","","academybugs.test.js","",""
"","5363","Ошибка перехода на страницу производителя товара @BUG","firefox","Tue Nov 25 02:10:10 UTC 2025","passed","Tue Nov 25 02:10:15 UTC 2025","","academybugs.test.js","",""
"","18386","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Tue Nov 25 02:08:48 UTC 2025","failed","Tue Nov 25 02:09:06 UTC 2025","","academybugs.test.js","",""
