"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12374","Ошибка отображения количества товара на главной странице @BUG","firefox","Tue Mar 24 02:48:23 UTC 2026","failed","Tue Mar 24 02:48:35 UTC 2026","","academybugs.test.js","",""
"","14909","Ошибка увеличения количества товаров в корзине @BUG","firefox","Tue Mar 24 02:49:11 UTC 2026","failed","Tue Mar 24 02:49:26 UTC 2026","","academybugs.test.js","",""
"","14840","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Tue Mar 24 02:51:02 UTC 2026","failed","Tue Mar 24 02:51:17 UTC 2026","","academybugs.test.js","",""
"","4896","Ошибка смены валюты @BUG","firefox","Tue Mar 24 02:50:24 UTC 2026","passed","Tue Mar 24 02:50:29 UTC 2026","","academybugs.test.js","",""
"","13025","Ошибка публикации комментария к товару @BUG","firefox","Tue Mar 24 02:51:48 UTC 2026","failed","Tue Mar 24 02:52:01 UTC 2026","","academybugs.test.js","",""
"","16749","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Tue Mar 24 02:50:06 UTC 2026","failed","Tue Mar 24 02:50:22 UTC 2026","","academybugs.test.js","",""
"","3689","Ошибка перехода на страницу производителя товара @BUG","firefox","Tue Mar 24 02:52:03 UTC 2026","passed","Tue Mar 24 02:52:06 UTC 2026","","academybugs.test.js","",""
"","13650","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Tue Mar 24 02:52:37 UTC 2026","failed","Tue Mar 24 02:52:51 UTC 2026","","academybugs.test.js","",""
