"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14956","Ошибка увеличения количества товаров в корзине @BUG","firefox","Thu Dec 18 02:09:26 UTC 2025","failed","Thu Dec 18 02:09:41 UTC 2025","","academybugs.test.js","",""
"","14710","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Thu Dec 18 02:12:42 UTC 2025","failed","Thu Dec 18 02:12:56 UTC 2025","","academybugs.test.js","",""
"","13385","Ошибка публикации комментария к товару @BUG","firefox","Thu Dec 18 02:13:27 UTC 2025","failed","Thu Dec 18 02:13:41 UTC 2025","","academybugs.test.js","",""
"","15078","Ошибка смены валюты @BUG","firefox","Thu Dec 18 02:11:51 UTC 2025","failed","Thu Dec 18 02:12:06 UTC 2025","","academybugs.test.js","",""
"","12862","Ошибка отображения количества товара на главной странице @BUG","firefox","Thu Dec 18 02:08:37 UTC 2025","failed","Thu Dec 18 02:08:50 UTC 2025","","academybugs.test.js","",""
"","12890","Ошибка перехода на страницу производителя товара @BUG","firefox","Thu Dec 18 02:14:12 UTC 2025","failed","Thu Dec 18 02:14:25 UTC 2025","","academybugs.test.js","",""
"","13303","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Thu Dec 18 02:14:57 UTC 2025","failed","Thu Dec 18 02:15:10 UTC 2025","","academybugs.test.js","",""
"","30016","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Thu Dec 18 02:10:46 UTC 2025","broken","Thu Dec 18 02:11:16 UTC 2025","","academybugs.test.js","",""
