"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19980","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Thu Aug 21 02:04:08 UTC 2025","failed","Thu Aug 21 02:04:28 UTC 2025","","academybugs.test.js","",""
"","4467","Ошибка перехода на страницу производителя товара @BUG","firefox","Thu Aug 21 02:06:23 UTC 2025","passed","Thu Aug 21 02:06:28 UTC 2025","","academybugs.test.js","",""
"","17605","Ошибка увеличения количества товаров в корзине @BUG","firefox","Thu Aug 21 02:03:02 UTC 2025","failed","Thu Aug 21 02:03:19 UTC 2025","","academybugs.test.js","",""
"","12785","Ошибка отображения количества товара на главной странице @BUG","firefox","Thu Aug 21 02:02:10 UTC 2025","failed","Thu Aug 21 02:02:23 UTC 2025","","academybugs.test.js","",""
"","13973","Ошибка публикации комментария к товару @BUG","firefox","Thu Aug 21 02:06:08 UTC 2025","failed","Thu Aug 21 02:06:22 UTC 2025","","academybugs.test.js","",""
"","9972","Ошибка смены валюты @BUG","firefox","Thu Aug 21 02:04:29 UTC 2025","passed","Thu Aug 21 02:04:39 UTC 2025","","academybugs.test.js","",""
"","14766","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Thu Aug 21 02:07:00 UTC 2025","failed","Thu Aug 21 02:07:15 UTC 2025","","academybugs.test.js","",""
"","17398","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Thu Aug 21 02:05:18 UTC 2025","failed","Thu Aug 21 02:05:35 UTC 2025","","academybugs.test.js","",""
