"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19484","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Mon Apr 07 02:04:44 GMT 2025","failed","Mon Apr 07 02:05:04 GMT 2025","","academybugs.test.js","",""
"","22843","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Mon Apr 07 02:01:27 GMT 2025","failed","Mon Apr 07 02:01:50 GMT 2025","","academybugs.test.js","",""
"","18801","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Mon Apr 07 02:02:39 GMT 2025","failed","Mon Apr 07 02:02:58 GMT 2025","","academybugs.test.js","",""
"","7674","Ошибка перехода на страницу производителя товара @BUG","firefox","Mon Apr 07 02:03:55 GMT 2025","passed","Mon Apr 07 02:04:03 GMT 2025","","academybugs.test.js","",""
"","15109","Ошибка отображения количества товара на главной странице @BUG","firefox","Mon Apr 07 02:00:01 GMT 2025","failed","Mon Apr 07 02:00:16 GMT 2025","","academybugs.test.js","",""
"","14792","Ошибка увеличения количества товаров в корзине @BUG","firefox","Mon Apr 07 02:00:17 GMT 2025","passed","Mon Apr 07 02:00:32 GMT 2025","","academybugs.test.js","",""
"","8453","Ошибка смены валюты @BUG","firefox","Mon Apr 07 02:01:51 GMT 2025","passed","Mon Apr 07 02:01:59 GMT 2025","","academybugs.test.js","",""
"","19423","Ошибка публикации комментария к товару @BUG","firefox","Mon Apr 07 02:03:34 GMT 2025","failed","Mon Apr 07 02:03:54 GMT 2025","","academybugs.test.js","",""
