"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14106","Ошибка публикации комментария к товару @BUG","firefox","Sun Mar 23 02:04:43 GMT 2025","failed","Sun Mar 23 02:04:57 GMT 2025","","academybugs.test.js","",""
"","5191","Ошибка перехода на страницу производителя товара @BUG","firefox","Sun Mar 23 02:04:58 GMT 2025","passed","Sun Mar 23 02:05:03 GMT 2025","","academybugs.test.js","",""
"","16477","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Sun Mar 23 02:03:49 GMT 2025","failed","Sun Mar 23 02:04:05 GMT 2025","","academybugs.test.js","",""
"","7205","Ошибка смены валюты @BUG","firefox","Sun Mar 23 02:03:02 GMT 2025","passed","Sun Mar 23 02:03:10 GMT 2025","","academybugs.test.js","",""
"","11759","Ошибка увеличения количества товаров в корзине @BUG","firefox","Sun Mar 23 02:01:42 GMT 2025","passed","Sun Mar 23 02:01:53 GMT 2025","","academybugs.test.js","",""
"","15247","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Sun Mar 23 02:05:40 GMT 2025","failed","Sun Mar 23 02:05:56 GMT 2025","","academybugs.test.js","",""
"","12693","Ошибка отображения количества товара на главной странице @BUG","firefox","Sun Mar 23 02:01:28 GMT 2025","failed","Sun Mar 23 02:01:40 GMT 2025","","academybugs.test.js","",""
"","22039","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Sun Mar 23 02:02:39 GMT 2025","failed","Sun Mar 23 02:03:01 GMT 2025","","academybugs.test.js","",""
