"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11906","Ошибка отображения количества товара на главной странице @BUG","firefox","2026-07-14","failed","2026-07-14","","academybugs.test.js","",""
"","12535","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","2026-07-14","failed","2026-07-14","","academybugs.test.js","",""
"","12391","Ошибка публикации комментария к товару @BUG","firefox","2026-07-14","failed","2026-07-14","","academybugs.test.js","",""
"","2596","Ошибка перехода на страницу производителя товара @BUG","firefox","2026-07-14","passed","2026-07-14","","academybugs.test.js","",""
"","30012","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","2026-07-14","broken","2026-07-14","","academybugs.test.js","",""
"","30011","Ошибка увеличения количества товаров в корзине @BUG","firefox","2026-07-14","broken","2026-07-14","","academybugs.test.js","",""
"","30012","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","2026-07-14","broken","2026-07-14","","academybugs.test.js","",""
"","30011","Ошибка смены валюты @BUG","firefox","2026-07-14","broken","2026-07-14","","academybugs.test.js","",""
