"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13788","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","2026-09-20","failed","2026-09-20","","academybugs.test.js","",""
"","15401","Ошибка увеличения количества товаров в корзине @BUG","firefox","2026-09-20","failed","2026-09-20","","academybugs.test.js","",""
"","13650","Ошибка публикации комментария к товару @BUG","firefox","2026-09-20","failed","2026-09-20","","academybugs.test.js","",""
"","3528","Ошибка перехода на страницу производителя товара @BUG","firefox","2026-09-20","passed","2026-09-20","","academybugs.test.js","",""
"","5688","Ошибка смены валюты @BUG","firefox","2026-09-20","passed","2026-09-20","","academybugs.test.js","",""
"","12493","Ошибка отображения количества товара на главной странице @BUG","firefox","2026-09-20","failed","2026-09-20","","academybugs.test.js","",""
"","15626","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","2026-09-20","failed","2026-09-20","","academybugs.test.js","",""
"","18149","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","2026-09-20","failed","2026-09-20","","academybugs.test.js","",""
