"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11863","Ошибка отображения количества товара на главной странице @BUG","firefox","Tue Jan 06 02:21:35 UTC 2026","failed","Tue Jan 06 02:21:47 UTC 2026","","academybugs.test.js","",""
"","14410","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Tue Jan 06 02:24:10 UTC 2026","failed","Tue Jan 06 02:24:24 UTC 2026","","academybugs.test.js","",""
"","4455","Ошибка смены валюты @BUG","firefox","Tue Jan 06 02:23:33 UTC 2026","passed","Tue Jan 06 02:23:37 UTC 2026","","academybugs.test.js","",""
"","12581","Ошибка публикации комментария к товару @BUG","firefox","Tue Jan 06 02:24:54 UTC 2026","failed","Tue Jan 06 02:25:07 UTC 2026","","academybugs.test.js","",""
"","16342","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Tue Jan 06 02:23:15 UTC 2026","failed","Tue Jan 06 02:23:32 UTC 2026","","academybugs.test.js","",""
"","2931","Ошибка перехода на страницу производителя товара @BUG","firefox","Tue Jan 06 02:25:08 UTC 2026","passed","Tue Jan 06 02:25:11 UTC 2026","","academybugs.test.js","",""
"","12853","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Tue Jan 06 02:25:41 UTC 2026","failed","Tue Jan 06 02:25:54 UTC 2026","","academybugs.test.js","",""
"","14725","Ошибка увеличения количества товаров в корзине @BUG","firefox","Tue Jan 06 02:22:22 UTC 2026","failed","Tue Jan 06 02:22:36 UTC 2026","","academybugs.test.js","",""
