"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6504","Ошибка смены валюты @BUG","firefox","Sat Jan 18 01:44:53 GMT 2025","passed","Sat Jan 18 01:44:59 GMT 2025","","academybugs.test.js","",""
"","13521","Ошибка публикации комментария к товару @BUG","firefox","Sat Jan 18 01:46:26 GMT 2025","failed","Sat Jan 18 01:46:39 GMT 2025","","academybugs.test.js","",""
"","9909","Ошибка увеличения количества товаров в корзине @BUG","firefox","Sat Jan 18 01:43:38 GMT 2025","passed","Sat Jan 18 01:43:48 GMT 2025","","academybugs.test.js","",""
"","20239","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Sat Jan 18 01:44:31 GMT 2025","failed","Sat Jan 18 01:44:52 GMT 2025","","academybugs.test.js","",""
"","14139","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Sat Jan 18 01:47:18 GMT 2025","failed","Sat Jan 18 01:47:32 GMT 2025","","academybugs.test.js","",""
"","12952","Ошибка отображения количества товара на главной странице @BUG","firefox","Sat Jan 18 01:43:24 GMT 2025","failed","Sat Jan 18 01:43:37 GMT 2025","","academybugs.test.js","",""
"","16691","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Sat Jan 18 01:45:37 GMT 2025","failed","Sat Jan 18 01:45:54 GMT 2025","","academybugs.test.js","",""
"","4682","Ошибка перехода на страницу производителя товара @BUG","firefox","Sat Jan 18 01:46:41 GMT 2025","passed","Sat Jan 18 01:46:45 GMT 2025","","academybugs.test.js","",""
