"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16413","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Mon Mar 03 01:56:55 GMT 2025","failed","Mon Mar 03 01:57:11 GMT 2025","","academybugs.test.js","",""
"","12423","Ошибка отображения количества товара на главной странице @BUG","firefox","Mon Mar 03 01:54:38 GMT 2025","failed","Mon Mar 03 01:54:51 GMT 2025","","academybugs.test.js","",""
"","13490","Ошибка публикации комментария к товару @BUG","firefox","Mon Mar 03 01:57:43 GMT 2025","failed","Mon Mar 03 01:57:57 GMT 2025","","academybugs.test.js","",""
"","7833","Ошибка смены валюты @BUG","firefox","Mon Mar 03 01:56:09 GMT 2025","passed","Mon Mar 03 01:56:17 GMT 2025","","academybugs.test.js","",""
"","15219","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Mon Mar 03 01:58:36 GMT 2025","failed","Mon Mar 03 01:58:52 GMT 2025","","academybugs.test.js","",""
"","21202","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Mon Mar 03 01:55:46 GMT 2025","failed","Mon Mar 03 01:56:07 GMT 2025","","academybugs.test.js","",""
"","9318","Ошибка увеличения количества товаров в корзине @BUG","firefox","Mon Mar 03 01:54:52 GMT 2025","passed","Mon Mar 03 01:55:01 GMT 2025","","academybugs.test.js","",""
"","4830","Ошибка перехода на страницу производителя товара @BUG","firefox","Mon Mar 03 01:57:58 GMT 2025","passed","Mon Mar 03 01:58:03 GMT 2025","","academybugs.test.js","",""
