"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12520","Ошибка отображения количества товара на главной странице @BUG","firefox","Tue Jan 21 01:45:33 GMT 2025","failed","Tue Jan 21 01:45:45 GMT 2025","","academybugs.test.js","",""
"","6499","Ошибка смены валюты @BUG","firefox","Tue Jan 21 01:47:02 GMT 2025","passed","Tue Jan 21 01:47:08 GMT 2025","","academybugs.test.js","",""
"","14203","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Tue Jan 21 01:49:27 GMT 2025","failed","Tue Jan 21 01:49:41 GMT 2025","","academybugs.test.js","",""
"","20250","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Tue Jan 21 01:46:40 GMT 2025","failed","Tue Jan 21 01:47:00 GMT 2025","","academybugs.test.js","",""
"","16460","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Tue Jan 21 01:47:44 GMT 2025","failed","Tue Jan 21 01:48:01 GMT 2025","","academybugs.test.js","",""
"","13498","Ошибка публикации комментария к товару @BUG","firefox","Tue Jan 21 01:48:33 GMT 2025","failed","Tue Jan 21 01:48:47 GMT 2025","","academybugs.test.js","",""
"","4754","Ошибка перехода на страницу производителя товара @BUG","firefox","Tue Jan 21 01:48:48 GMT 2025","passed","Tue Jan 21 01:48:53 GMT 2025","","academybugs.test.js","",""
"","9036","Ошибка увеличения количества товаров в корзине @BUG","firefox","Tue Jan 21 01:45:47 GMT 2025","passed","Tue Jan 21 01:45:56 GMT 2025","","academybugs.test.js","",""
