"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14422","Ошибка публикации комментария к товару @BUG","firefox","Thu Sep 11 02:00:38 UTC 2025","failed","Thu Sep 11 02:00:53 UTC 2025","","academybugs.test.js","",""
"","20338","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Thu Sep 11 01:58:46 UTC 2025","failed","Thu Sep 11 01:59:06 UTC 2025","","academybugs.test.js","",""
"","6397","Ошибка смены валюты @BUG","firefox","Thu Sep 11 01:59:07 UTC 2025","passed","Thu Sep 11 01:59:14 UTC 2025","","academybugs.test.js","",""
"","6188","Ошибка перехода на страницу производителя товара @BUG","firefox","Thu Sep 11 02:00:54 UTC 2025","passed","Thu Sep 11 02:01:00 UTC 2025","","academybugs.test.js","",""
"","17214","Ошибка увеличения количества товаров в корзине @BUG","firefox","Thu Sep 11 01:57:44 UTC 2025","failed","Thu Sep 11 01:58:01 UTC 2025","","academybugs.test.js","",""
"","14623","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Thu Sep 11 02:01:37 UTC 2025","failed","Thu Sep 11 02:01:52 UTC 2025","","academybugs.test.js","",""
"","16563","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Thu Sep 11 01:59:50 UTC 2025","failed","Thu Sep 11 02:00:07 UTC 2025","","academybugs.test.js","",""
"","12710","Ошибка отображения количества товара на главной странице @BUG","firefox","Thu Sep 11 01:56:52 UTC 2025","failed","Thu Sep 11 01:57:05 UTC 2025","","academybugs.test.js","",""
