"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12907","Ошибка публикации комментария к товару @BUG","firefox","Fri Apr 03 03:21:44 UTC 2026","failed","Fri Apr 03 03:21:57 UTC 2026","","academybugs.test.js","",""
"","14771","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Fri Apr 03 03:20:59 UTC 2026","failed","Fri Apr 03 03:21:13 UTC 2026","","academybugs.test.js","",""
"","13223","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Fri Apr 03 03:22:32 UTC 2026","failed","Fri Apr 03 03:22:45 UTC 2026","","academybugs.test.js","",""
"","11961","Ошибка отображения количества товара на главной странице @BUG","firefox","Fri Apr 03 03:18:21 UTC 2026","failed","Fri Apr 03 03:18:33 UTC 2026","","academybugs.test.js","",""
"","5012","Ошибка смены валюты @BUG","firefox","Fri Apr 03 03:20:21 UTC 2026","passed","Fri Apr 03 03:20:26 UTC 2026","","academybugs.test.js","",""
"","17300","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Fri Apr 03 03:20:02 UTC 2026","failed","Fri Apr 03 03:20:19 UTC 2026","","academybugs.test.js","",""
"","3308","Ошибка перехода на страницу производителя товара @BUG","firefox","Fri Apr 03 03:21:58 UTC 2026","passed","Fri Apr 03 03:22:02 UTC 2026","","academybugs.test.js","",""
"","14810","Ошибка увеличения количества товаров в корзине @BUG","firefox","Fri Apr 03 03:19:08 UTC 2026","failed","Fri Apr 03 03:19:23 UTC 2026","","academybugs.test.js","",""
