"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12981","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Wed Mar 25 02:57:40 UTC 2026","failed","Wed Mar 25 02:57:53 UTC 2026","","academybugs.test.js","",""
"","14353","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Wed Mar 25 02:56:11 UTC 2026","failed","Wed Mar 25 02:56:25 UTC 2026","","academybugs.test.js","",""
"","16413","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Wed Mar 25 02:55:16 UTC 2026","failed","Wed Mar 25 02:55:32 UTC 2026","","academybugs.test.js","",""
"","12414","Ошибка публикации комментария к товару @BUG","firefox","Wed Mar 25 02:56:55 UTC 2026","failed","Wed Mar 25 02:57:07 UTC 2026","","academybugs.test.js","",""
"","2817","Ошибка перехода на страницу производителя товара @BUG","firefox","Wed Mar 25 02:57:08 UTC 2026","passed","Wed Mar 25 02:57:11 UTC 2026","","academybugs.test.js","",""
"","4498","Ошибка смены валюты @BUG","firefox","Wed Mar 25 02:55:33 UTC 2026","passed","Wed Mar 25 02:55:38 UTC 2026","","academybugs.test.js","",""
"","11836","Ошибка отображения количества товара на главной странице @BUG","firefox","Wed Mar 25 02:53:37 UTC 2026","failed","Wed Mar 25 02:53:49 UTC 2026","","academybugs.test.js","",""
"","14495","Ошибка увеличения количества товаров в корзине @BUG","firefox","Wed Mar 25 02:54:23 UTC 2026","failed","Wed Mar 25 02:54:37 UTC 2026","","academybugs.test.js","",""
