"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17487","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Tue Sep 02 02:05:06 UTC 2025","failed","Tue Sep 02 02:05:24 UTC 2025","","academybugs.test.js","",""
"","21543","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Tue Sep 02 02:03:43 UTC 2025","failed","Tue Sep 02 02:04:05 UTC 2025","","academybugs.test.js","",""
"","4976","Ошибка перехода на страницу производителя товара @BUG","firefox","Tue Sep 02 02:06:11 UTC 2025","passed","Tue Sep 02 02:06:16 UTC 2025","","academybugs.test.js","",""
"","11245","Ошибка смены валюты @BUG","firefox","Tue Sep 02 02:04:06 UTC 2025","passed","Tue Sep 02 02:04:17 UTC 2025","","academybugs.test.js","",""
"","14230","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Tue Sep 02 02:06:50 UTC 2025","failed","Tue Sep 02 02:07:04 UTC 2025","","academybugs.test.js","",""
"","13377","Ошибка публикации комментария к товару @BUG","firefox","Tue Sep 02 02:05:56 UTC 2025","failed","Tue Sep 02 02:06:10 UTC 2025","","academybugs.test.js","",""
"","12799","Ошибка отображения количества товара на главной странице @BUG","firefox","Tue Sep 02 02:01:38 UTC 2025","failed","Tue Sep 02 02:01:50 UTC 2025","","academybugs.test.js","",""
"","18520","Ошибка увеличения количества товаров в корзине @BUG","firefox","Tue Sep 02 02:02:30 UTC 2025","failed","Tue Sep 02 02:02:48 UTC 2025","","academybugs.test.js","",""
