"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14563","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Wed Nov 05 02:11:28 UTC 2025","failed","Wed Nov 05 02:11:43 UTC 2025","","academybugs.test.js","",""
"","8724","Ошибка смены валюты @BUG","firefox","Wed Nov 05 02:09:00 UTC 2025","passed","Wed Nov 05 02:09:09 UTC 2025","","academybugs.test.js","",""
"","16611","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Wed Nov 05 02:09:48 UTC 2025","failed","Wed Nov 05 02:10:05 UTC 2025","","academybugs.test.js","",""
"","3876","Ошибка перехода на страницу производителя товара @BUG","firefox","Wed Nov 05 02:10:52 UTC 2025","passed","Wed Nov 05 02:10:56 UTC 2025","","academybugs.test.js","",""
"","13742","Ошибка публикации комментария к товару @BUG","firefox","Wed Nov 05 02:10:37 UTC 2025","failed","Wed Nov 05 02:10:51 UTC 2025","","academybugs.test.js","",""
"","16253","Ошибка увеличения количества товаров в корзине @BUG","firefox","Wed Nov 05 02:07:33 UTC 2025","failed","Wed Nov 05 02:07:49 UTC 2025","","academybugs.test.js","",""
"","12796","Ошибка отображения количества товара на главной странице @BUG","firefox","Wed Nov 05 02:06:41 UTC 2025","failed","Wed Nov 05 02:06:53 UTC 2025","","academybugs.test.js","",""
"","21028","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Wed Nov 05 02:08:38 UTC 2025","failed","Wed Nov 05 02:08:59 UTC 2025","","academybugs.test.js","",""
