"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4032","Ошибка перехода на страницу производителя товара @BUG","firefox","Wed Aug 06 02:30:13 GMT 2025","passed","Wed Aug 06 02:30:17 GMT 2025","","academybugs.test.js","",""
"","19718","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Wed Aug 06 02:28:03 GMT 2025","failed","Wed Aug 06 02:28:23 GMT 2025","","academybugs.test.js","",""
"","7122","Ошибка смены валюты @BUG","firefox","Wed Aug 06 02:28:24 GMT 2025","passed","Wed Aug 06 02:28:31 GMT 2025","","academybugs.test.js","",""
"","17324","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Wed Aug 06 02:29:08 GMT 2025","failed","Wed Aug 06 02:29:25 GMT 2025","","academybugs.test.js","",""
"","14112","Ошибка публикации комментария к товару @BUG","firefox","Wed Aug 06 02:29:58 GMT 2025","failed","Wed Aug 06 02:30:12 GMT 2025","","academybugs.test.js","",""
"","14495","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Wed Aug 06 02:30:50 GMT 2025","failed","Wed Aug 06 02:31:04 GMT 2025","","academybugs.test.js","",""
"","12424","Ошибка отображения количества товара на главной странице @BUG","firefox","Wed Aug 06 02:26:57 GMT 2025","failed","Wed Aug 06 02:27:09 GMT 2025","","academybugs.test.js","",""
"","9490","Ошибка увеличения количества товаров в корзине @BUG","firefox","Wed Aug 06 02:27:11 GMT 2025","passed","Wed Aug 06 02:27:20 GMT 2025","","academybugs.test.js","",""
