"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2836","Ошибка перехода на страницу производителя товара @BUG","firefox","Tue Mar 17 02:51:13 UTC 2026","passed","Tue Mar 17 02:51:15 UTC 2026","","academybugs.test.js","",""
"","16593","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Tue Mar 17 02:49:20 UTC 2026","failed","Tue Mar 17 02:49:36 UTC 2026","","academybugs.test.js","",""
"","14508","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Tue Mar 17 02:50:14 UTC 2026","failed","Tue Mar 17 02:50:29 UTC 2026","","academybugs.test.js","",""
"","12522","Ошибка публикации комментария к товару @BUG","firefox","Tue Mar 17 02:50:59 UTC 2026","failed","Tue Mar 17 02:51:11 UTC 2026","","academybugs.test.js","",""
"","14501","Ошибка увеличения количества товаров в корзине @BUG","firefox","Tue Mar 17 02:48:27 UTC 2026","failed","Tue Mar 17 02:48:42 UTC 2026","","academybugs.test.js","",""
"","4616","Ошибка смены валюты @BUG","firefox","Tue Mar 17 02:49:37 UTC 2026","passed","Tue Mar 17 02:49:42 UTC 2026","","academybugs.test.js","",""
"","12887","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Tue Mar 17 02:51:45 UTC 2026","failed","Tue Mar 17 02:51:58 UTC 2026","","academybugs.test.js","",""
"","11917","Ошибка отображения количества товара на главной странице @BUG","firefox","Tue Mar 17 02:47:41 UTC 2026","failed","Tue Mar 17 02:47:53 UTC 2026","","academybugs.test.js","",""
