"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12802","Ошибка отображения количества товара на главной странице @BUG","firefox","Sun May 11 02:09:34 GMT 2025","failed","Sun May 11 02:09:47 GMT 2025","","academybugs.test.js","",""
"","14549","Ошибка публикации комментария к товару @BUG","firefox","Sun May 11 02:12:44 GMT 2025","failed","Sun May 11 02:12:58 GMT 2025","","academybugs.test.js","",""
"","6788","Ошибка смены валюты @BUG","firefox","Sun May 11 02:11:09 GMT 2025","passed","Sun May 11 02:11:16 GMT 2025","","academybugs.test.js","",""
"","21343","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Sun May 11 02:10:46 GMT 2025","failed","Sun May 11 02:11:08 GMT 2025","","academybugs.test.js","",""
"","17510","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Sun May 11 02:11:53 GMT 2025","failed","Sun May 11 02:12:11 GMT 2025","","academybugs.test.js","",""
"","14755","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Sun May 11 02:13:38 GMT 2025","failed","Sun May 11 02:13:53 GMT 2025","","academybugs.test.js","",""
"","5179","Ошибка перехода на страницу производителя товара @BUG","firefox","Sun May 11 02:12:59 GMT 2025","passed","Sun May 11 02:13:05 GMT 2025","","academybugs.test.js","",""
"","12694","Ошибка увеличения количества товаров в корзине @BUG","firefox","Sun May 11 02:09:48 GMT 2025","passed","Sun May 11 02:10:01 GMT 2025","","academybugs.test.js","",""
