"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18920","Ошибка увеличения количества товаров в корзине @BUG","firefox","Sat Dec 06 02:03:19 UTC 2025","failed","Sat Dec 06 02:03:38 UTC 2025","","academybugs.test.js","",""
"","6090","Ошибка перехода на страницу производителя товара @BUG","firefox","Sat Dec 06 02:07:26 UTC 2025","passed","Sat Dec 06 02:07:32 UTC 2025","","academybugs.test.js","",""
"","24630","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Sat Dec 06 02:06:05 UTC 2025","failed","Sat Dec 06 02:06:29 UTC 2025","","academybugs.test.js","",""
"","13915","Ошибка смены валюты @BUG","firefox","Sat Dec 06 02:05:03 UTC 2025","passed","Sat Dec 06 02:05:17 UTC 2025","","academybugs.test.js","",""
"","17079","Ошибка публикации комментария к товару @BUG","firefox","Sat Dec 06 02:07:07 UTC 2025","failed","Sat Dec 06 02:07:24 UTC 2025","","academybugs.test.js","",""
"","15118","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Sat Dec 06 02:08:09 UTC 2025","failed","Sat Dec 06 02:08:24 UTC 2025","","academybugs.test.js","",""
"","12434","Ошибка отображения количества товара на главной странице @BUG","firefox","Sat Dec 06 02:02:22 UTC 2025","failed","Sat Dec 06 02:02:34 UTC 2025","","academybugs.test.js","",""
"","27721","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Sat Dec 06 02:04:34 UTC 2025","failed","Sat Dec 06 02:05:02 UTC 2025","","academybugs.test.js","",""
