"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4261","Ошибка перехода на страницу производителя товара @BUG","firefox","Sun Dec 29 02:01:26 GMT 2024","passed","Sun Dec 29 02:01:31 GMT 2024","","academybugs.test.js","",""
"","8559","Ошибка смены валюты @BUG","firefox","Sun Dec 29 01:59:27 GMT 2024","passed","Sun Dec 29 01:59:35 GMT 2024","","academybugs.test.js","",""
"","14948","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Sun Dec 29 02:02:03 GMT 2024","failed","Sun Dec 29 02:02:18 GMT 2024","","academybugs.test.js","",""
"","21347","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Sun Dec 29 01:59:04 GMT 2024","failed","Sun Dec 29 01:59:26 GMT 2024","","academybugs.test.js","",""
"","13913","Ошибка публикации комментария к товару @BUG","firefox","Sun Dec 29 02:01:11 GMT 2024","failed","Sun Dec 29 02:01:25 GMT 2024","","academybugs.test.js","",""
"","17600","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Sun Dec 29 02:00:20 GMT 2024","failed","Sun Dec 29 02:00:37 GMT 2024","","academybugs.test.js","",""
"","9481","Ошибка увеличения количества товаров в корзине @BUG","firefox","Sun Dec 29 01:58:10 GMT 2024","passed","Sun Dec 29 01:58:20 GMT 2024","","academybugs.test.js","",""
"","12537","Ошибка отображения количества товара на главной странице @BUG","firefox","Sun Dec 29 01:57:56 GMT 2024","failed","Sun Dec 29 01:58:09 GMT 2024","","academybugs.test.js","",""
