"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13236","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Sat Feb 14 02:48:21 UTC 2026","failed","Sat Feb 14 02:48:34 UTC 2026","","academybugs.test.js","",""
"","14783","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Sat Feb 14 02:46:46 UTC 2026","failed","Sat Feb 14 02:47:01 UTC 2026","","academybugs.test.js","",""
"","3338","Ошибка перехода на страницу производителя товара @BUG","firefox","Sat Feb 14 02:47:47 UTC 2026","passed","Sat Feb 14 02:47:50 UTC 2026","","academybugs.test.js","",""
"","12668","Ошибка отображения количества товара на главной странице @BUG","firefox","Sat Feb 14 02:44:05 UTC 2026","failed","Sat Feb 14 02:44:18 UTC 2026","","academybugs.test.js","",""
"","12862","Ошибка публикации комментария к товару @BUG","firefox","Sat Feb 14 02:47:33 UTC 2026","failed","Sat Feb 14 02:47:45 UTC 2026","","academybugs.test.js","",""
"","4893","Ошибка смены валюты @BUG","firefox","Sat Feb 14 02:46:08 UTC 2026","passed","Sat Feb 14 02:46:13 UTC 2026","","academybugs.test.js","",""
"","15020","Ошибка увеличения количества товаров в корзине @BUG","firefox","Sat Feb 14 02:44:54 UTC 2026","failed","Sat Feb 14 02:45:09 UTC 2026","","academybugs.test.js","",""
"","17359","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Sat Feb 14 02:45:49 UTC 2026","failed","Sat Feb 14 02:46:07 UTC 2026","","academybugs.test.js","",""
